Position,Institution,Short name,Count,Share
6375,University of Medicine and Health Sciences,UMHS,1,0.17
6375,Lewis & Clark College,L&C,1,0.17
6377,Stephen F. Austin State University,SFA,3,0.17
6404,Hood College,Hood College,2,0.16
6453,Olin College of Engineering,Olin College,1,0.16
6517,University of Tampa,Tampa,3,0.15
6547,Howard University Hospital,HUH,2,0.15
6563,University of Puget Sound,UPS,2,0.15
6574,Fond du Lac Tribal and Community College,Fond,1,0.15
6585,Charles R. Drew University of Medicine and Science,CDU,4,0.14
6599,Black Hills State University,BHSU,5,0.14
6611,Franklin Pierce University,FPU,1,0.14
6611,Murray State University,Murray State,1,0.14
6611,Snow College,Snow College,1,0.14
6611,Lynn University,Lynn,1,0.14
6611,Central New Mexico Community College,CNM,1,0.14
6611,City College of San Francisco,CCSF,1,0.14
6611,Norwich University,Norwich,1,0.14
6611,University of South Carolina - Aiken,USC Aiken,1,0.14
6611,Chemeketa Community College,Chemeketa,1,0.14
6611,Butte College,Butte,1,0.14
6611,Roanoke College,Roanoke,1,0.14
6611,University of Southern Indiana,University Southern,1,0.14
6611,Albright College,Albright,1,0.14
6649,Rhodes College,Rhodes,3,0.14
6722,Siena College,Siena,6,0.13
6784,Whitman College,Whitman,1,0.12
6784,Truman State University,Truman State,1,0.12
6784,Columbia College Chicago,Columbia College,1,0.12
6784,Southern Utah University,SUU,1,0.12
6784,California Health Sciences University,CHSU,1,0.12
6784,Eastern Washington University,EWU,1,0.12
6784,St. Lawrence University,SLU,1,0.12
6784,Liberty University,Liberty,1,0.12
6784,Nicholls State University,Nicholls State,1,0.12
6786,West Chester University of Pennsylvania,WCU,3,0.12
6894,Wilkes University,Wilkes,1,0.12
6899,University of Wisconsin - Green Bay,UWGB,3,0.12
6908,Dickinson State University,Dickinson State,2,0.12
6952,Chatham University,Chatham,2,0.11
6978,Pacific Lutheran University,PLU,1,0.11
6978,Regis University,Regis,1,0.11
6978,Cullen College of Engineering,Cullen,1,0.11
6978,Indiana University of Pennsylvania,IUP,1,0.11
6978,Saint Michael's College,SMC,1,0.11
6978,Des Moines University,DMU,1,0.11
6978,South Florida State College,SFSC,1,0.11
6978,Oral Roberts University,ORU,1,0.11
7034,Mount St. Joseph University,MSJ,1,0.11
7050,Massachusetts College of Pharmacy and Health Sciences,MCPHS,5,0.11
7072,The University of Tennessee Space Institute,UTSI,2,0.1
7139,Oklahoma State University Medical Center,OSUMC,3,0.1
7145,Converse College,Converse College,1,0.1
7145,University of West Alabama,UWA,1,0.1
7145,Georgia Southwestern State University,GSW,1,0.1
7145,Northern Kentucky University,NKU,1,0.1
7145,American College of Chest Physicians,CHEST,1,0.1
7145,Virginia University of Integrative Medicine,VUIM,1,0.1
7145,University of Wisconsin-La Crosse,UW-L,1,0.1
7145,Elizabethtown College,E-town,1,0.1
7145,Northwest Indian College,Northwest,1,0.1
7145,Stonehill College,Stonehill,1,0.1
7145,Ashland University,Ashland,1,0.1
7145,Long Island University,LIU,1,0.1
7145,Frostburg State University,Frostburg State,1,0.1
7145,Marian University,Marian,1,0.1
7145,Rockhurst University,Rockhurst,1,0.1
7146,Saint Joseph's University,SJU,3,0.1
7162,University of Kansas Health System,University Kansas,2,0.1
7190,Corban University,Corban,2,0.1
7213,University of West Georgia,UWG,2,0.09
7222,University Kidney Research Organization,UKRO,1,0.09
7251,State University of New York at Oswego,SUNY Oswego,15,0.09
7261,Youngstown State University,YSU,1,0.09
7261,University of Houston–Downtown,University Houston–Downtown,1,0.09
7261,Cedar Crest College,CCC,1,0.09
7261,Albion College,Albion,1,0.09
7261,University of Alaska Southeast,UAS,1,0.09
7272,"California State University, Stanislaus",CSU Stanislaus,13,0.09
