University Name,"City, State",Rank,Tuition and Fees,Undergrad enrollment
Gwynedd Mercy University,"Gwynedd Valley, PA",273,"$41,960.00","1,301"
Hampton University,"Hampton, VA",273,"$31,512.00","3,728"
Marymount University,"Arlington, VA",273,"$42,186.00","2,503"
The Master's University and Seminary,"Santa Clarita, CA",273,"$36,930.00","1,914"
Misericordia University,"Dallas, PA",273,"$43,000.00","1,721"
Pace University,"New York, NY",273,"$54,875.00","8,038"
Regis University,"Denver, CO",273,"$47,490.00","2,704"
University of Memphis,"Memphis, TN",273,"$18,762(out-of-state) / $10,728(in-state)","15,770"
Wichita State University,"Wichita, KS",273,"$19,240(out-of-state) / $9,322(in-state)","14,280"
Aurora University,"Aurora, IL",283,"$28,220.00","4,098"
Azusa Pacific University,"Azusa, CA",283,"$45,340.00","2,759"
Central Michigan University,"Mount Pleasant, MI",283,"$16,215(out-of-state) / $16,215(in-state)","10,219"
College of St. Scholastica,"Duluth, MN",283,"$40,454.00","1,755"
DeSales University,"Center Valley, PA",283,"$48,300.00","2,172"
George Fox University,"Newberg, OR",283,"$44,430.00","3,358"
Maryville University of St. Louis,"St Louis, MO",283,"$27,166.00","5,692"
Saint Mary's University of Minnesota,"Winona, MN",283,"$46,660.00","1,083"
University of South Dakota,"Vermillion, SD",283,"$13,299(out-of-state) / $9,687(in-state)","7,619"
Western New England University,"Springfield, MA",283,"$49,490.00","2,616"
Bowling Green State University,"Bowling Green, OH",293,"$22,353(out-of-state) / $14,365(in-state)","14,783"
Old Dominion University,"Norfolk, VA",293,"$33,885(out-of-state) / $13,320(in-state)","17,746"
University of New England,"Biddeford, ME",293,"$45,900.00","3,884"
University of Puerto Rico--Rio Piedras,"Rio Piedras, PR",293,"$5,324(out-of-state) / $5,324(in-state)","8,873"
University of St. Francis,"Joliet, IL",293,"$38,900.00","1,338"
University of the Incarnate Word,"San Antonio, TX",293,"$38,650.00","4,638"
University of Toledo,"Toledo, OH",293,"$22,006(out-of-state) / $12,646(in-state)","11,012"
Western Michigan University,"Kalamazoo, MI",293,"$19,908(out-of-state) / $15,954(in-state)","13,860"
Bellarmine University,"Louisville, KY",301,"$50,490.00","2,240"
Boise State University,"Boise, ID",301,"$28,478(out-of-state) / $9,364(in-state)","24,030"
Dominican University New York,"Orangeburg, NY",301,"$35,380.00","1,115"
East Tennessee State University,"Johnson City, TN",301,N/A(out-of-state) / N/A(in-state),"10,829"
Edgewood University,"Madison, WI",301,"$34,850.00","1,214"
Harding University,"Searcy, AR",301,"$27,282.00","3,535"
Immaculata University,"Immaculata, PA",301,"$29,820.00","1,652"
Lesley University,"Cambridge, MA",301,"$32,780.00","1,342"
Northern Illinois University,"DeKalb, IL",301,"$13,792(out-of-state) / $13,792(in-state)","11,349"
Oklahoma City University,"Oklahoma City, OK",301,"$35,648.00","1,514"
Shenandoah University,"Winchester, VA",301,"$37,860.00","2,641"
Southern Illinois University--Carbondale,"Carbondale, IL",301,"$13,544(out-of-state) / $13,544(in-state)","8,553"
University of Hartford,"West Hartford, CT",301,"$50,445.00","4,223"
University of Indianapolis,"Indianapolis, IN",301,"$38,308.00","3,603"
University of Nebraska Omaha,"Omaha, NE",301,"$23,206(out-of-state) / $8,718(in-state)","11,756"
University of Wisconsin--Milwaukee,"Milwaukee, WI",301,N/A(out-of-state) / N/A(in-state),"18,667"
Widener University,"Chester, PA",301,"$53,638.00","2,811"
Concordia University Irvine,"Irvine, CA",318,"$44,500.00","1,554"
Florida Gulf Coast University,"Fort Myers, FL",318,"$25,162(out-of-state) / $6,118(in-state)","14,227"
Kean University,"Union, NJ",318,"$22,446(out-of-state) / $14,299(in-state)","11,758"
Louisiana Tech University,"Ruston, LA",318,"$20,313(out-of-state) / $11,400(in-state)","11,058"
Marshall University,"Huntington, WV",318,"$20,390(out-of-state) / $9,388(in-state)","9,146"
Montana State University,"Bozeman, MT",318,"$31,337(out-of-state) / $8,083(in-state)","14,872"
Oakland University,"Rochester, MI",318,"$22,950(out-of-state) / $16,176(in-state)","12,587"
Point Park University,"Pittsburgh, PA",318,"$41,000.00","2,337"
University of Houston--Clear Lake,"Houston, TX",318,"$25,978(out-of-state) / $9,298(in-state)","6,029"
University of Southern Mississippi,"Hattiesburg, MS",318,"$11,998(out-of-state) / $9,998(in-state)","10,193"
Wilkes University,"Wilkes-Barre, PA",318,"$44,742.00","2,076"
